prospect_id,business,qr_target_url,mail_ready
J238-001,Academy Chiropractic Center,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/academy-chiropractic-center/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-001,hold
J238-002,Acupuncture Medical Practice,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/acupuncture-medical-practice/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-002,hold
J238-003,"Advanced Commercial Interior, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/advanced-commercial-interior-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-003,hold
J238-004,Agnes Edmunds Bridal & Formals,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/agnes-edmunds-bridal-formals/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-004,hold
J238-005,All Phase Electric Co.,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/all-phase-electric-co/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-005,hold
J238-006,Al Tacos Locos,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-006,hold
J238-007,Always Dental Care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-007,hold
J238-008,"A.M. Electric, Inc.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-m-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-008,hold
J238-009,Andorra Family Dentistry,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-009,hold
J238-010,Anthony Gueriera Jr. Insurance Agency LLC,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anthony-gueriera-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-010,hold
J238-011,Anton's Plumbing & Heating Inc.,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anton-s-plumbing-heating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-011,hold
J238-012,"A POSITIVE RESPONSE PLUMBING, LLC.",https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-positive-response-plumbing-llc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-012,hold
J238-013,APR Supply Company,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apr-supply-company/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-013,hold
J238-014,APT Heating and Cooling,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apt-heating-and-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-014,hold
J238-015,Art City Vets & Urgent Care,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/art-city-vets/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-015,hold
J238-016,Artisan Wine and Cheese Cellars,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/artisan-wine-and-cheese-cellars/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-016,hold
J238-017,Auger Manufacturing Specialists,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/auger-manufacturing/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-017,hold
J238-018,Baldwin's Book Barn,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/baldwins-book-barn/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-018,hold
J238-019,Bàn Bàn Asian Bistro,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/ban-ban-asian-bistro/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-019,hold
J238-020,Barnes Financial Group,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/barnes-financial-group/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-020,hold
J238-021,Bartram's Garden,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/bartram-garden/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-021,hold
J238-022,BeBalanced Royersford,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/be-balanced-hormone/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-022,hold
J238-023,Benjamin Lovell Shoes,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/benjamin-lovell-shoes/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-023,hold
