prospect_id,business,vertical,live_site,qr_target_url,qa_ready,mail_ready,approved_by,has_email,batch
J238-001,Academy Chiropractic Center,Medical & Healthcare,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/academy-chiropractic-center/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/academy-chiropractic-center/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-001,ready,hold,,no,Philadelphia W31 verified 25
J238-002,Acupuncture Medical Practice,Medical & Healthcare,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/acupuncture-medical-practice/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/acupuncture-medical-practice/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-002,ready,hold,,yes,Philadelphia W31 verified 25
J238-003,"Advanced Commercial Interior, Inc.",Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/advanced-commercial-interior-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/advanced-commercial-interior-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-003,ready,hold,,yes,Philadelphia Batch 3
J238-004,Agnes Edmunds Bridal & Formals,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/agnes-edmunds-bridal-formals/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/agnes-edmunds-bridal-formals/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-004,ready,hold,,no,radar-next15-20260810-050919
J238-005,All Phase Electric Co.,Electrical,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/all-phase-electric-co/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/all-phase-electric-co/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-005,ready,hold,,yes,Philadelphia Batch 4
J238-006,Al Tacos Locos,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/al-tacos-locos/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/al-tacos-locos/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-006,ready,hold,,no,radar-next15-20260810-110919
J238-007,Always Dental Care,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/always-dental-care/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-007,ready,hold,,no,phl-2026-w34
J238-008,"A.M. Electric, Inc.",Electrical,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-m-electric-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-m-electric-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-008,ready,hold,,yes,Philadelphia Batch 4
J238-009,Andorra Family Dentistry,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/andorra-family-dentistry/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-009,ready,hold,,no,phl-2026-w33
J238-010,Anthony Gueriera Jr. Insurance Agency LLC,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anthony-gueriera-insurance/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anthony-gueriera-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-010,ready,hold,,no,Cinematic builds 169-178
J238-011,Anton's Plumbing & Heating Inc.,Plumbing / sewer,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anton-s-plumbing-heating-inc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/anton-s-plumbing-heating-inc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-011,ready,hold,,yes,Philadelphia Batch 3
J238-012,"A POSITIVE RESPONSE PLUMBING, LLC.",Painting / drywall,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-positive-response-plumbing-llc/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/a-positive-response-plumbing-llc/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-012,ready,hold,,yes,Philadelphia Batch 3
J238-013,APR Supply Company,Business,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/apr-supply-company/,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/gate/apr-supply-company/?utm_source=directmail&utm_medium=qr&utm_campaign=jesse-238&utm_content=J238-013,ready,hold,,no,radar-next15-20260810-050919
